=========== Grouping Data =============
---- Parameters: 
epsilon = 10.0
delta   = 3.5
m       = 3
---- Groups: 
"Group {91,125,32,113,257} on [102.96,115.22]"
"Group {75,125,32,113,257} on [103.88,126.71]"
"Group {90,109,175,277,91} on [119.08,123.30]"
"Group {90,109,175,277,215} on [121.22,126.31]"
"Group {214,23,143,251,124} on [52.14,59.18]"
"Group {187,138,127,135,276} on [54.49,96.63]"
"Group {30,86,119,122,189} on [7.99,108.70]"
"Group {119,122,189,33,222} on [94.94,110.77]"
"Group {121,282,287,265,132} on [67.63,124.32]"
"Group {71,121,282,287,265} on [121.88,145.96]"
"Group {63,43,83,252,223} on [116.52,149.00]"
"Group {146,8,60,180,211} on [63.47,147.76]"
"Group {214,57,8,60,211} on [137.63,149.00]"
"Group {30,86,157,203,234} on [22.24,127.82]"
"Group {267,35,171,42,15} on [88.01,92.43]"
"Group {267,35,171,15,143} on [89.62,94.34]"
"Group {47,53,40,85,95} on [60.30,65.96]"
"Group {129,85,95,48,107} on [85.39,95.00]"
"Group {85,95,48,107,42} on [104.77,109.97]"
"Group {48,107,160,201,238} on [143.47,148.98]"
"Group {267,35,15,171,143} on [95.74,100.02]"
"Group {100,209,202,210,275} on [118.14,149.00]"
